dia,mes,ano,feriado,fp,fs,hora,sem_pas,potencia
15,10,2021,0,1,0,7,5592.15279,5579.07773
15,10,2021,0,1,0,7.5,5769.09872,5861.69895
15,10,2021,0,1,0,8,5874.21203,5991.24294
15,10,2021,0,1,0,8.5,6050.24303,6299.06274
15,10,2021,0,1,0,9,6217.51025,6273.33866
15,10,2021,0,1,0,9.5,6270.66152,6374.56942
15,10,2021,0,1,0,10,6257.73205,6545.92208
15,10,2021,0,1,0,10.5,6474.65849,6521.22175
15,10,2021,0,1,0,11,6398.93447,6677.18663
15,10,2021,0,1,0,11.5,6493.10801,6609.03747
15,10,2021,0,1,0,12,6449.91588,6586.8064
15,10,2021,0,1,0,12.5,6503.76259,6577.35086
15,10,2021,0,1,0,13,6445.64349,6471.23862
15,10,2021,0,1,0,13.5,6237.40127,6442.68096
15,10,2021,0,1,0,14,6277.21719,6452.95104
15,10,2021,0,1,0,14.5,6263.05896,6492.95773
15,10,2021,0,1,0,15,6245.64445,6439.14274
15,10,2021,0,1,0,15.5,6213.90929,6465.78225
15,10,2021,0,1,0,16,6113.90884,6461.51684
15,10,2021,0,1,0,16.5,6149.15333,6380.6141
15,10,2021,0,1,0,17,6041.18252,6353.24864
15,10,2021,0,1,0,17.5,6129.1034,6269.84671
15,10,2021,0,1,0,18,6216.89243,6071.14652
15,10,2021,0,1,0,18.5,6763.52213,6550.42535
15,10,2021,0,1,0,19,6789.66047,6606.00087
15,10,2021,0,1,0,19.5,6906.6657,6586.81417
15,10,2021,0,1,0,20,6858.46878,6567.02243
15,10,2021,0,1,0,20.5,6813.86467,6578.68215
15,10,2021,0,1,0,21,6807.39777,6518.15094
15,10,2021,0,1,0,21.5,6726.438,6498.09444
15,10,2021,0,1,0,22,6563.61551,6386.8512
15,10,2021,0,1,0,22.5,6490.60643,6303.47562
15,10,2021,0,1,0,23,6176.14088,5976.29336
15,10,2021,0,1,0,23.5,6112.80622,5935.25963
16,10,2021,0,1,0,0,5990.48596,5788.77328
16,10,2021,0,1,0,0.5,5830.23109,5693.87825
16,10,2021,0,1,0,1,5727.41002,5547.60578
16,10,2021,0,1,0,1.5,5581.27816,5537.77481
16,10,2021,0,1,0,2,5494.12088,5412.85809
16,10,2021,0,1,0,2.5,5381.50288,5407.35618
16,10,2021,0,1,0,3,5485.15192,5409.41077
16,10,2021,0,1,0,3.5,5474.80065,5386.8918
16,10,2021,0,1,0,4,5515.06041,5380.75032
16,10,2021,0,1,0,4.5,5538.94415,5437.80228
16,10,2021,0,1,0,5,5577.16089,5465.31821
16,10,2021,0,1,0,5.5,5510.42483,5456.26843
16,10,2021,0,1,0,6,5485.99109,5419.45927
16,10,2021,0,1,0,6.5,5420.08213,5399.37722
16,10,2021,0,1,0,7,5604.9866,5495.89486
16,10,2021,0,1,0,7.5,5793.74317,5671.36494
16,10,2021,0,1,0,8,5951.89927,5816.63512
16,10,2021,0,1,0,8.5,6113.57841,6027.61449
16,10,2021,0,1,0,9,6289.08457,6276.11495
16,10,2021,0,1,0,9.5,6355.24687,6377.07473
16,10,2021,0,1,0,10,6521.44865,6310.21854
16,10,2021,0,1,0,10.5,6507.29777,6424.29857
16,10,2021,0,1,0,11,6548.66992,6560.44344
16,10,2021,0,1,0,11.5,6556.22908,6603.59519
16,10,2021,0,1,0,12,6569.38127,6569.09944
16,10,2021,0,1,0,12.5,6564.18449,6460.39016
16,10,2021,0,1,0,13,6413.85071,6397.34846
16,10,2021,0,1,0,13.5,6391.50282,6356.9856
16,10,2021,0,1,0,14,6433.33269,6284.90207
16,10,2021,0,1,0,14.5,6458.12757,6288.63659
16,10,2021,0,1,0,15,6407.21976,6318.33179
16,10,2021,0,1,0,15.5,6444.38177,6297.96283
16,10,2021,0,1,0,16,6353.49381,6259.35645
16,10,2021,0,1,0,16.5,6350.36386,6166.8923
16,10,2021,0,1,0,17,6302.24592,6092.26467
16,10,2021,0,1,0,17.5,6291.63932,6182.96291
16,10,2021,0,1,0,18,6366.27113,6166.28779
16,10,2021,0,1,0,18.5,6636.34057,6589.45796
16,10,2021,0,1,0,19,6600.33754,6657.37621
16,10,2021,0,1,0,19.5,6653.39805,6580.66486
16,10,2021,0,1,0,20,6664.34201,6567.23663
16,10,2021,0,1,0,20.5,6581.56449,6499.93154
16,10,2021,0,1,0,21,6535.01797,6486.1769
16,10,2021,0,1,0,21.5,6606.18002,6503.65146
16,10,2021,0,1,0,22,6412.87274,6332.89581
16,10,2021,0,1,0,22.5,6394.78198,6264.24661
16,10,2021,0,1,0,23,6154.83365,6050.71443
16,10,2021,0,1,0,23.5,6030.59641,5887.89632
17,10,2021,0,1,0,0,5999.33763,5803.07447
17,10,2021,0,1,0,0.5,5796.73339,5713.83766
17,10,2021,0,1,0,1,5696.76589,5607.62263
17,10,2021,0,1,0,1.5,5567.27779,5502.86401
17,10,2021,0,1,0,2,5499.82751,5428.95297
17,10,2021,0,1,0,2.5,5538.53619,5376.82262
17,10,2021,0,1,0,3,5481.62697,5321.07045
17,10,2021,0,1,0,3.5,5501.77947,5312.16955
17,10,2021,0,1,0,4,5492.55055,5314.06587
17,10,2021,0,1,0,4.5,5418.66564,5269.90644
17,10,2021,0,1,0,5,5476.79255,5301.67974
17,10,2021,0,1,0,5.5,5506.45769,5272.8423
17,10,2021,0,1,0,6,5410.72758,5117.87859
17,10,2021,0,1,0,6.5,5309.83752,5012.61572
17,10,2021,0,1,0,7,5216.85327,4961.37534
17,10,2021,0,1,0,7.5,5353.68414,5101.04945
17,10,2021,0,1,0,8,5466.38539,5201.80944
17,10,2021,0,1,0,8.5,5591.87207,5328.33774
17,10,2021,0,1,0,9,5723.9466,5381.18907
17,10,2021,0,1,0,9.5,5801.76845,5497.64617
17,10,2021,0,1,0,10,5917.56326,5560.33332
17,10,2021,0,1,0,10.5,5950.76409,5583.96841
17,10,2021,0,1,0,11,6017.7603,5704.04464
17,10,2021,0,1,0,11.5,6058.56311,5768.04945
17,10,2021,0,1,0,12,6005.47799,5655.52647
17,10,2021,0,1,0,12.5,6015.56153,5721.36305
17,10,2021,0,1,0,13,6022.45731,5765.94
17,10,2021,0,1,0,13.5,5997.04593,5637.45265
17,10,2021,0,1,0,14,6071.56366,5625.3574
17,10,2021,0,1,0,14.5,6045.03994,5645.45407
17,10,2021,0,1,0,15,6037.12161,5616.23211
17,10,2021,0,1,0,15.5,5981.59672,5527.18503
17,10,2021,0,1,0,16,5970.78361,5501.12189
17,10,2021,0,1,0,16.5,5920.60314,5558.41097
17,10,2021,0,1,0,17,5850.91209,5491.85068
17,10,2021,0,1,0,17.5,6048.06067,5594.18873
17,10,2021,0,1,0,18,6224.97875,5748.5131
17,10,2021,0,1,0,18.5,6568.95413,6219.9588
17,10,2021,0,1,0,19,6617.46738,6344.6038
17,10,2021,0,1,0,19.5,6604.96593,6422.58206
17,10,2021,0,1,0,20,6677.43778,6412.09278
17,10,2021,0,1,0,20.5,6567.6806,6406.32389
17,10,2021,0,1,0,21,6544.84673,6348.00585
17,10,2021,0,1,0,21.5,6394.08359,6161.50696
17,10,2021,0,1,0,22,6342.90199,6057.01024
17,10,2021,0,1,0,22.5,6031.62752,5863.51104
17,10,2021,0,1,0,23,5996.127,5722.79425
17,10,2021,0,1,0,23.5,5698.72265,5512.58148
18,10,2021,0,1,0,0,5631.87392,5372.21944
18,10,2021,0,1,0,0.5,5396.9267,5250.8527
18,10,2021,0,1,0,1,5353.9286,5247.56721
18,10,2021,0,1,0,1.5,5214.07719,5192.95252
18,10,2021,0,1,0,2,5179.15144,5105.32828
18,10,2021,0,1,0,2.5,5133.73578,5063.56376
18,10,2021,0,1,0,3,5078.63556,4974.25328
18,10,2021,0,1,0,3.5,5059.1627,4980.47745
18,10,2021,0,1,0,4,5096.21963,5040.78633
18,10,2021,0,1,0,4.5,5177.72239,4995.79962
18,10,2021,0,1,0,5,5215.41678,5087.12638
18,10,2021,0,1,0,5.5,5320.76417,5154.51269
18,10,2021,0,1,0,6,5318.94151,5186.8632
18,10,2021,0,1,0,6.5,5347.45902,5300.02306
18,10,2021,0,1,0,7,5474.0592,5460.34361
